"member_id","monthly_rate","join_date","cancel_date","zipcode","personal_training_client","check_ins_per_week","dob","age","membership_length_in_months","age_group"
"CP1000003800",155,"2004-02-07","2019-05-01",10011,FALSE,2,"1982-02-02",40,182,"25-54"
"CP1000003815",100,"2002-12-05",,10013,FALSE,2,"1978-07-19",43,233,"25-54"
"CP1000004030",130,"2004-02-26","2019-05-03",10003,FALSE,1,"1966-07-21",55,182,"55-74"
"CP1000004321",100,"2004-03-23",,10011,FALSE,1,"1969-03-29",53,217,"25-54"
"CP1000004454",130,"2004-09-07","2019-05-02",10011,FALSE,1,"1972-07-13",49,175,"25-54"
"CP1000004477",100,"2002-11-02","2019-08-01",10011,FALSE,2,"1964-11-06",57,200,"55-74"
"CP1000004594",130,"2004-04-15","2018-10-02",10011,FALSE,3,"1900-01-01",122,173,"75+"
"CP1000004638",130,"2004-04-18",,10011,FALSE,1,"1971-01-27",51,216,"25-54"
"CP1000004762",155,"2004-04-25",,10014,FALSE,2,"1980-02-02",42,216,"25-54"
"CP1000004816",100,"2004-04-30",,10016,FALSE,5,"1957-05-21",64,216,"55-74"
"CP1000004861",155,"2004-05-02","2019-02-28",10003,FALSE,1,"1982-02-02",40,177,"25-54"
"CP1000004921",100,"2006-06-10",,10003,FALSE,5,,,191,""
"CP1000005119",130,"2002-12-22","2019-09-01",10011,FALSE,1,"1964-04-12",58,200,"55-74"
"CP1000005184",180,"2002-12-07","2019-05-01",10003,FALSE,1,"1935-09-16",86,196,"75+"
"CP1000005192",100,"2004-05-25","2018-11-25",10011,FALSE,4,"1900-01-01",122,174,"75+"
"CP1000005193",155,"2004-05-25","2018-09-13",10011,FALSE,0,"1900-01-01",122,171,"75+"
"CP1000005420",180,"2004-06-12","2018-09-01",10006,TRUE,1,"1900-01-01",122,170,"75+"
"CP1000005436",130,"2004-06-13","2019-01-15",10003,FALSE,6,"1970-04-01",52,175,"25-54"
"CP1000005458",100,"2004-06-15","2018-09-01",10003,FALSE,0,"1945-04-25",77,170,"75+"
"CP1000005477",100,"2002-12-31",,,FALSE,1,"1969-12-17",52,232,"25-54"
"CP1000005580",180,"2004-06-23",,10011,FALSE,1,"1968-07-23",53,214,"25-54"
"CP1000005610",100,"2003-01-09",,10016,FALSE,3,"1970-03-05",52,232,"25-54"
"CP1000005648",130,"2004-06-27",,10003,TRUE,1,"1962-06-27",59,214,"55-74"
"CP1000005753",130,"2004-07-06","2018-08-23",10009,FALSE,1,"1982-02-02",40,169,"25-54"
"CP1000005853",100,"2004-07-13",,10011,FALSE,2,"1977-11-10",44,214,"25-54"
"CP1000005861",130,"2003-06-23","2019-06-01",10011,FALSE,4,"1961-03-29",61,191,"55-74"
"CP1000005897",100,"2004-12-03",,10011,FALSE,1,"1962-01-19",60,209,"55-74"
"CP1000006112",130,"2006-03-05","2019-09-01",10011,FALSE,3,"1944-08-12",77,161,"75+"
"CP1000006158",100,"2003-02-10",,10003,TRUE,4,"1967-02-12",55,231,"55-74"
"CP1000006453",100,"2004-08-30","2019-03-31",10003,FALSE,1,"1900-01-01",122,175,"75+"
"CP1000006572",180,"2003-04-12","2019-05-01",10011,FALSE,1,"1965-11-23",56,192,"55-74"
"CP1000006659",130,"2004-09-13","2018-12-13",10003,TRUE,1,"2007-05-30",14,171,"12-24"
"CP1000006752",100,"2003-04-19",,10011,FALSE,5,"1970-01-24",52,228,"25-54"
"CP1000007232",130,"2004-09-26",,10011,FALSE,2,,,211,""
"CP1000007239",100,"2004-09-26",,10003,TRUE,1,,,211,""
"CP1000007404",100,"2004-10-01",,10011,FALSE,2,,,211,""
"CP1000007444",100,"2006-07-01",,10003,FALSE,5,"2010-02-16",12,190,"12-24"
"CP1000007451",180,"2004-10-04","2019-02-20",10021,FALSE,2,"1979-05-29",42,172,"25-54"
"CP1000007645",155,"2004-10-12",,,FALSE,4,"1957-01-11",65,211,"55-74"
"CP1000007938",155,"2003-05-30",,10011,TRUE,3,"1960-04-01",62,227,"55-74"
"CP1000007983",100,"2004-10-24",,10003,TRUE,3,,,210,""
"CP1000008210",180,"2004-11-05","2019-08-01",10003,FALSE,4,"1946-10-04",75,176,"75+"
"CP1000008242",100,"2004-11-06",,10003,FALSE,4,"1987-06-05",34,210,"25-54"
"CP1000008246",100,"2004-11-28","2019-02-28",11231,FALSE,5,"1953-12-09",68,171,"55-74"
"CP1000008258",100,"2003-06-21",,10011,FALSE,1,"1949-05-22",72,226,"55-74"
"CP1000008265",100,"2003-06-26",,,FALSE,1,"1954-05-16",67,226,"55-74"
"CP1000008273",100,"2004-11-08",,10011,FALSE,5,"1968-02-09",54,210,"25-54"
"CP1000008454",180,"2004-11-18",,10011,FALSE,3,"1900-01-01",122,209,"75+"
"CP1000008601",155,"2003-07-15","2019-08-01",10036,FALSE,1,"1900-01-01",122,192,"75+"
"CP1000008705",100,"2004-12-04",,10011,FALSE,1,"1961-03-30",61,209,"55-74"
"CP1000008741",180,"2004-12-07","2018-10-01",10011,TRUE,2,"1942-11-30",79,165,"75+"
"CP1000008742",100,"2004-12-07","2019-03-21",10011,FALSE,2,"1946-12-22",75,171,"75+"
"CP1000008827",100,"2004-12-13",,10580,FALSE,4,"1970-10-10",51,209,"25-54"
"CP1000008869",130,"2004-12-15",,10011,FALSE,1,"1965-04-17",57,209,"55-74"
"CP1000008924",100,"2004-12-19",,10003,FALSE,4,"1976-05-25",45,208,"25-54"
"CP1000009127",130,"2005-01-02","2019-08-01",10011,FALSE,5,"1970-04-08",52,174,"25-54"
"CP1000009226",100,"2005-01-08",,10003,FALSE,4,,,208,""
"CP1000009227",100,"2005-01-08",,10002,TRUE,3,,,208,""
"CP1000009277",180,"2005-01-10",,10011,FALSE,2,"1982-02-02",40,208,"25-54"
"CP1000009286",180,"2005-01-11","2019-02-02",10003,TRUE,0,"1982-02-02",40,168,"25-54"
"CP1000009363",155,"2005-01-15","2019-07-19",10011,TRUE,2,"1970-11-14",51,174,"25-54"
"CP1000009482",180,"2005-01-22","2019-07-06",10011,FALSE,5,"1900-01-01",122,173,"75+"
"CP1000009922",100,"2005-02-15","2019-03-01",10025,FALSE,2,"1941-10-19",80,168,"75+"
"CP1000010048",180,"2005-02-21","2018-09-01",10011,FALSE,0,"1947-02-09",75,162,"75+"
"CP1000010192",210,"2005-02-28","2018-12-01",6906,FALSE,2,"1961-10-12",60,165,"55-74"
"CP1000010286",100,"2005-03-05",,10003,FALSE,3,,,206,""
"CP1000010357",100,"2005-03-07","2019-03-02",10011,TRUE,2,"1900-01-01",122,167,"75+"
"CP1000010558",130,"2005-03-15",,10011,FALSE,4,"1976-12-11",45,206,"25-54"
"CP1000010907",100,"2005-03-25",,10014,FALSE,3,,,205,""
"CP1000011112",100,"2005-03-31",,10011,TRUE,1,"1976-09-15",45,205,"25-54"
"CP1000011994",100,"2005-05-03",,10025,FALSE,3,"1965-02-20",57,204,"55-74"
"CP1000012130",100,"2005-05-07",,10011,FALSE,1,,,204,""
"CP1000012237",155,"2005-05-14",,10002,FALSE,4,"1969-06-06",52,204,"25-54"
"CP1000012433",130,"2005-05-24","2019-08-01",10011,FALSE,2,"1982-02-02",40,170,"25-54"
"CP1000012572",155,"2005-06-02","2018-12-01",10003,FALSE,1,"1900-01-01",122,161,"75+"
"CP1000012590",100,"2005-06-03",,10011,FALSE,1,,,203,""
"CP1000012821",100,"2005-06-16","2018-10-21",10011,FALSE,0,"1949-09-06",72,160,"55-74"
"CP1000013019",100,"2005-06-28","2019-02-23",10011,FALSE,3,"1973-01-06",49,163,"25-54"
"CP1000013069",100,"2005-07-01","2018-10-09",10003,FALSE,0,"1900-01-01",122,159,"75+"
"CP1000013801",180,"2005-08-13","2019-11-01",10011,FALSE,3,"1970-08-19",51,170,"25-54"
"CP1000013854",130,"2005-08-16",,10065,FALSE,1,"1971-05-26",50,200,"25-54"
"CP1000014116",100,"2005-08-31",,10011,TRUE,1,,,200,""
"CP1000014377",100,"2005-09-18","2018-09-01",10011,FALSE,0,"1959-10-07",62,155,"55-74"
"CP1000014689",155,"2005-09-30",,10011,FALSE,3,"1972-02-06",50,199,"25-54"
"CP1000015007",155,"2005-10-16",,10011,FALSE,0,"2001-01-01",21,198,"12-24"
"CP1000015225",100,"2005-10-26",,94510,FALSE,0,,,198,""
"CP1000015530",180,"2005-11-14",,12498,TRUE,1,"1934-01-26",88,198,"75+"
"CP1000015858",210,"2005-12-06","2019-06-18",10011,FALSE,1,"1982-02-22",40,162,"25-54"
"CP1000015980",130,"2005-12-15","2019-02-01",,TRUE,1,"2000-01-01",22,157,"12-24"
"CP1000016402",100,"2006-01-07",,10011,FALSE,0,"1967-09-21",54,196,"25-54"
"CP1000016556",130,"2006-03-23","2019-04-01",10011,FALSE,1,"1970-10-12",51,156,"25-54"
"CP1000016855",130,"2006-01-30",,10011,FALSE,0,"1962-10-27",59,195,"55-74"
"CP1000017168",155,"2006-02-16","2018-10-01",10003,FALSE,0,"1949-12-03",72,151,"55-74"
"CP1000017392",100,"2006-03-04",,10011,FALSE,0,"1973-09-20",48,194,"25-54"
"CP1000017572",155,"2006-03-14",,10011,FALSE,0,"1958-07-25",63,194,"55-74"
"CP1000017623",100,"2006-03-17","2018-09-02",10011,FALSE,0,"1900-01-01",122,149,"75+"
"CP1000017826",130,"2006-04-02",,10011,FALSE,0,,,193,""
"CP1000017893",100,"2006-04-08",,10011,FALSE,0,"1965-10-27",56,193,"55-74"
"CP1000017894",180,"2006-04-08",,10011,FALSE,0,"1900-01-01",122,193,"75+"
"CP1000019107",100,"2006-06-23","2019-02-02",10011,FALSE,0,"1966-11-09",55,151,"55-74"
"CP1000019375",155,"2006-07-10",,10003,FALSE,5,"1900-01-01",122,190,"75+"
"CP1000019991",130,"2006-08-18","2019-03-01",10014,FALSE,2,"1967-07-06",54,150,"25-54"
"CP1000020027",100,"2006-08-20",,10011,FALSE,11,"1970-11-11",51,188,"25-54"
"CP1000020085",155,"2006-08-24",,10014,FALSE,1,"1900-01-01",122,188,"75+"
"CP1000020224",130,"2006-09-05","2019-03-02",10012,FALSE,1,"1980-09-09",41,149,"25-54"
"CP1000020598",100,"2006-10-01","2019-04-15",11217,FALSE,1,"1964-06-11",57,150,"55-74"
"CP1000020794",155,"2006-10-12","2019-08-14",10011,FALSE,2,"1966-08-21",55,154,"55-74"
"CP1000020851",100,"2006-10-19","2019-05-12",,FALSE,4,"1900-01-01",122,150,"75+"
"CP1000020926",100,"2006-10-24",,90211,FALSE,2,,,186,""
"CP1000021085",100,"2006-11-04",,,FALSE,9,,,186,""
"CP1000021267",100,"2007-01-07",,10003,TRUE,2,"1956-04-05",66,184,"55-74"
"CP1000021322",210,"2007-03-19","2019-07-25",10003,FALSE,5,"2015-02-11",7,148,"0-11"
"CP1000022096",180,"2007-02-19",,10003,FALSE,4,"1966-04-20",56,182,"55-74"
"CP1000022171",100,"2007-01-19","2019-07-25",10011,FALSE,1,"1980-07-04",41,150,"25-54"
"CP1000022195",130,"2007-01-22","2019-06-22",10003,FALSE,1,"1969-10-02",52,149,"25-54"
"CP1000022401",100,"2007-02-07",,8840,TRUE,5,"1875-09-09",146,183,"75+"
"CP1000022603",130,"2007-02-19",,10011,FALSE,7,"1982-02-02",40,182,"25-54"
"CP1000022762",130,"2007-05-07","2019-05-16",10011,FALSE,2,"1972-01-24",50,144,"25-54"
"CP1000022810",130,"2007-03-04",,10003,FALSE,4,"1900-01-01",122,182,"75+"
"CP1000023100",130,"2007-03-28","2018-10-02",,FALSE,4,"1800-01-01",222,138,"75+"
"CP1000023354",180,"2007-05-07","2018-09-01",90402,FALSE,0,"1900-01-01",122,135,"75+"
"CP1000023407",130,"2007-04-14","2019-09-03",10014,FALSE,4,"1900-01-01",122,148,"75+"
"CP1000023548",100,"2007-04-23",,11221,FALSE,1,"1966-12-09",55,180,"55-74"
"CP1000023769",100,"2007-05-10","2018-12-19",10001,FALSE,2,"1980-06-11",41,139,"25-54"
"CP1000023814",130,"2007-05-12",,10003,FALSE,1,"1967-03-27",55,180,"55-74"
"CP1000023986",100,"2007-05-26",,10011,FALSE,2,"1955-08-15",66,179,"55-74"
"CP1000023990",155,"2007-05-27",,10012,FALSE,3,,,179,""
"CP1000024031",100,"2007-05-30",,11231,FALSE,3,,,179,""
"CP1000024104",155,"2007-06-07",,10011,FALSE,4,"1960-08-18",61,179,"55-74"
"CP1000024241",100,"2007-06-14",,10011,FALSE,3,"1976-09-07",45,179,"25-54"
"CP1000024631",100,"2007-07-20","2019-09-03",10011,FALSE,3,"1963-09-06",58,145,"55-74"
"CP1000024877",155,"2007-08-06",,10011,FALSE,1,"1962-02-06",60,177,"55-74"
"CP1000025169",100,"2007-08-28",,10003,FALSE,2,"1985-09-25",36,176,"25-54"
"CP1000025191",180,"2007-08-29","2018-09-01",10004,FALSE,0,"1972-04-20",50,132,"25-54"
"CP1000025217",100,"2007-08-30",,10011,FALSE,3,"1965-09-02",56,176,"55-74"
"CP1000025227",100,"2007-08-30",,10011,FALSE,3,,,176,""
"CP1000025466",180,"2007-09-17",,10003,TRUE,1,"1968-01-14",54,175,"25-54"
"CP1000025703",100,"2007-10-11",,10011,FALSE,1,"1900-01-01",122,175,"75+"
"CP1000025708",180,"2007-10-12","2019-02-28",10014,FALSE,3,"1969-02-13",53,136,"25-54"
"CP1000025729",100,"2007-10-15",,10003,FALSE,1,"1962-04-02",60,175,"55-74"
"CP1000025737",100,"2007-10-16",,10011,FALSE,1,"1944-12-07",77,174,"75+"
"CP1000025739",100,"2007-10-16","2019-03-01",10011,TRUE,1,"1945-02-04",77,136,"75+"
"CP1000025779",155,"2007-10-22","2018-10-01",7480,FALSE,4,"1960-12-26",61,131,"55-74"
"CP1000025856",180,"2007-10-28","2019-04-03",10011,FALSE,2,"1938-08-30",83,137,"75+"
"CP1000025857",180,"2007-10-28","2019-04-03",10011,FALSE,2,"1939-05-29",82,137,"75+"
"CP1000025886",210,"2007-10-31",,10003,FALSE,3,"1986-06-07",35,174,"25-54"
"CP1000025901",100,"2007-11-02",,10011,FALSE,11,"1979-03-14",43,174,"25-54"
"CP1000025905",100,"2007-11-02","2019-02-15",10003,FALSE,4,"1982-02-02",40,135,"25-54"
"CP1000025927",100,"2007-11-04",,10003,FALSE,6,"1961-08-31",60,174,"55-74"
"CP1000026451",100,"2007-12-28","2018-12-01",10010,FALSE,3,"1987-08-17",34,131,"25-54"
"CP1000026516",130,"2008-01-03","2019-09-01",10014,FALSE,2,"1952-11-30",69,139,"55-74"
"CP1000026686",210,"2008-01-24",,10011,FALSE,2,"1962-07-26",59,171,"55-74"
"CP1000026693",100,"2008-01-26","2019-09-13",10011,FALSE,3,"1966-10-14",55,139,"55-74"
"CP1000026756",100,"2008-02-06","2018-12-01",10010,FALSE,2,"1968-04-15",54,129,"25-54"
"CP1000026794",130,"2008-02-13",,10011,TRUE,9,"1962-08-08",59,171,"55-74"
"CP1000027169",130,"2008-04-09","2019-05-01",10011,FALSE,2,"1963-12-26",58,132,"55-74"
"CP1000027269",210,"2008-04-29",,10003,FALSE,3,"1941-05-26",80,168,"75+"
"CP1000027303",130,"2008-05-05",,10006,FALSE,4,"1979-06-14",42,168,"25-54"
"CP1000027426",100,"2008-05-19",,10011,FALSE,5,"1965-06-26",56,167,"55-74"
"CP1000027429",130,"2008-05-19","2019-06-04",10011,FALSE,1,"1958-07-28",63,132,"55-74"
"CP1000027434",100,"2008-05-19",,10011,TRUE,4,"1971-05-30",50,167,"25-54"
"CP1000027522",155,"2008-05-23",,10011,FALSE,1,"1960-06-17",61,167,"55-74"
"CP1000027608",130,"2008-05-30","2018-10-14",11211,FALSE,0,"1977-06-20",44,124,"25-54"
"CP1000027618",100,"2008-05-31",,11211,FALSE,3,"1970-08-07",51,167,"25-54"
"CP1000027634",100,"2008-05-31","2018-11-02",11238,FALSE,1,"1953-03-06",69,125,"55-74"
"CP1000027703",100,"2008-06-05",,10011,FALSE,1,"1960-03-20",62,167,"55-74"
"CP1000027904",155,"2008-06-24",,10011,TRUE,1,"1980-07-09",41,166,"25-54"
"CP1000028096",130,"2008-07-18","2019-01-01",10003,FALSE,1,"1957-11-20",64,125,"55-74"
"CP1000028145",130,"2008-07-22","2019-05-31",10011,FALSE,4,"1968-11-03",53,130,"25-54"
"CP1000028683",130,"2008-09-26","2019-02-02",10011,FALSE,0,"1900-01-01",122,124,"75+"
"CP1000029021",180,"2008-11-12","2018-09-01",10003,FALSE,0,"1976-12-30",45,117,"25-54"
"CP1000029434",155,"2009-01-15",,10003,TRUE,3,,,160,""
"CP1000029853",130,"2009-02-26",,10012,FALSE,4,"1983-10-18",38,158,"25-54"
"CP1000030001",130,"2009-03-16",,10011,FALSE,12,"1972-09-25",49,157,"25-54"
"CP1000030034",155,"2009-03-21",,10009,TRUE,9,"1970-09-16",51,157,"25-54"
"CP1000030105",210,"2009-03-31",,10011,TRUE,1,"1976-11-11",45,157,"25-54"
"CP1000030181",180,"2009-04-12","2019-03-01",90028,FALSE,2,"2016-02-29",6,118,"0-11"
"CP1000030215",100,"2009-04-18","2019-03-13",10011,FALSE,2,"1969-09-12",52,118,"25-54"
"CP1000030527",100,"2009-05-31",,10010,FALSE,1,"1977-12-19",44,155,"25-54"
"CP1000030982",155,"2009-07-25",,10003,FALSE,2,"1900-01-01",122,153,"75+"
"CP1000030985",155,"2009-07-25",,10011,FALSE,4,"1977-12-17",44,153,"25-54"
"CP1000031227",130,"2009-09-16",,10003,FALSE,1,,,151,""
"CP1000031265",155,"2009-09-21",,10011,FALSE,3,,,151,""
"CP1000031302",155,"2009-09-25",,,FALSE,1,,,151,""
"CP1000031308",130,"2009-09-26",,10003,FALSE,1,,,151,""
"CP1000031634",180,"2009-11-28",,10011,FALSE,2,"1946-05-20",75,149,"75+"
"CP1000031905",210,"2010-01-16","2019-09-01",10011,FALSE,2,"1994-01-17",28,115,"25-54"
"CP1000031931",155,"2010-01-22",,10009,FALSE,6,"1900-01-01",122,147,"75+"
"CP1000032044",100,"2010-02-09","2019-02-25",10003,FALSE,1,"1982-02-02",40,108,"25-54"
"CP1000032215",100,"2010-03-26",,10011,FALSE,1,"1975-04-05",47,145,"25-54"
"CP1000032320",130,"2010-04-24","2019-01-26",10011,FALSE,2,"1972-04-13",50,105,"25-54"
"CP1000032465",155,"2010-05-26",,11217,FALSE,4,"1979-12-29",42,143,"25-54"
"CP1000032470",210,"2010-05-28","2019-06-04",10010,FALSE,7,"1900-01-01",122,108,"75+"
"CP1000032489",130,"2010-06-01","2019-07-02",,FALSE,1,"1900-01-01",122,109,"75+"
"CP1000032493",130,"2010-06-02","2019-09-01",10003,TRUE,1,"1900-01-01",122,110,"75+"
"CP1000032585",130,"2010-06-20","2018-11-02",10012,FALSE,1,"1900-01-01",122,100,"75+"
"CP1000032774",180,"2010-08-06","2019-01-01",10003,FALSE,1,"1982-02-02",40,100,"25-54"
"CP1000032812",130,"2010-08-09","2018-12-02",10011,FALSE,1,"1900-01-01",122,99,"75+"
"CP1000032916",100,"2010-08-19",,10011,FALSE,1,"1958-07-07",63,140,"55-74"
"CP1000032935",210,"2010-08-21",,10010,FALSE,2,,,140,""
"CP1000032983",130,"2010-08-26","2019-06-05",10011,FALSE,4,"1900-01-01",122,105,"75+"
"CP1000033087",210,"2010-09-14","2019-06-02",10003,FALSE,2,"1963-06-18",58,104,"55-74"
"CP1000033186",210,"2010-10-02","2019-05-18",10011,FALSE,1,"1982-02-22",40,103,"25-54"
"CP1000033407",130,"2010-11-19","2019-08-01",10009,FALSE,4,"2015-02-16",7,104,"0-11"
"CP1000033432",100,"2010-11-24","2018-11-01",10011,FALSE,2,"1975-05-21",46,95,"25-54"
"CP1000033551",100,"2010-12-17","2019-09-03",10011,FALSE,3,"1900-01-01",122,104,"75+"
"CP1000033576",130,"2010-12-21","2018-09-01",10011,FALSE,0,"1958-03-17",64,92,"55-74"
"CP1000033888",100,"2011-01-31",,10011,FALSE,3,,,135,""
"CP1000034122",100,"2011-03-04","2019-08-01",10011,FALSE,1,"1900-01-01",122,100,"75+"
"CP1000034149",155,"2011-03-07",,,FALSE,2,"1975-08-02",46,134,"25-54"
"CP1000034189",155,"2011-03-11",,10011,FALSE,2,,,134,""
"CP1000034222",210,"2011-03-15","2019-07-01",11217,FALSE,1,"1979-11-08",42,99,"25-54"
"CP1000034256",210,"2011-03-19","2019-08-01",10011,TRUE,2,"1951-06-08",70,100,"55-74"
"CP1000034299",180,"2011-03-24","2019-05-03",7310,FALSE,2,"1982-02-02",40,97,"25-54"
"CP1000034327",210,"2011-03-28",,10011,FALSE,1,"1900-01-01",122,133,"75+"
"CP1000034344",155,"2011-03-31",,7740,FALSE,1,,,133,""
"CP1000034423",130,"2011-04-17","2018-10-21",10003,FALSE,0,"1825-02-02",197,90,"75+"
"CP1000034576",100,"2011-05-16","2019-09-04",10011,FALSE,2,"1900-01-01",122,99,"75+"
"CP1000034617",100,"2011-05-24",,,FALSE,5,"1965-05-01",57,131,"55-74"
"CP1000034646",155,"2011-05-29",,10003,FALSE,4,,,131,""
"CP1000034675",130,"2011-06-04",,10003,FALSE,4,,,131,""
"CP1000034695",130,"2011-06-08","2019-02-02",10003,FALSE,3,"1973-01-29",49,91,"25-54"
"CP1000034837",130,"2011-06-27","2019-02-01",10011,FALSE,3,"1900-01-01",122,91,"75+"
"CP1000035047",210,"2011-08-03","2019-08-23",10003,FALSE,5,"1900-01-01",122,96,"75+"
"CP1000035163",100,"2011-08-21",,11211,FALSE,8,"1963-10-31",58,128,"55-74"
"CP1000035346",130,"2011-09-15","2018-12-24",10009,FALSE,4,"1964-07-31",57,87,"55-74"
"CP1000035717",130,"2011-10-25","2019-04-06",10003,FALSE,4,"1982-02-02",40,89,"25-54"
"CP1000036004",210,"2011-11-30",,10011,TRUE,3,,,125,""
"CP1000036160",210,"2011-12-10",,10011,FALSE,8,,,125,""
"CP1000036165",100,"2011-12-10","2019-02-01",10011,FALSE,1,"1900-01-01",122,85,"75+"
"CP1000036301",130,"2011-12-23","2019-05-01",,FALSE,1,"1982-08-22",39,88,"25-54"
"CP1000036366",130,"2011-12-30",,10003,FALSE,4,"1975-02-01",47,124,"25-54"
"CP1000036397",100,"2011-12-31","2019-07-01",10011,FALSE,1,"1982-02-02",40,90,"25-54"
"CP1000036411",155,"2012-01-02",,10011,TRUE,5,,,124,""
"CP1000036412",155,"2012-01-02",,10011,FALSE,1,,,124,""
